Site #,Site Status,Site Activation Date,State,Country
44056,Selected,,MD,USA
44056,Selected,,MD,USA
44054,Selected,,NM,USA
44054,Selected,,NM,USA
44053,Selected,,LA,USA
44053,Selected,,LA,USA
44053,Selected,,LA,USA
44053,Selected,,LA,USA
44053,Selected,,LA,USA
44052,Selected,,FL,USA
44052,Selected,,FL,USA
44052,Selected,,FL,USA
44050,Selected,,NJ,USA
44050,Selected,,NJ,USA
44050,Selected,,NJ,USA
44050,Selected,,NJ,USA
44049,Selected,,TX,USA
44049,Selected,,TX,USA
44049,Selected,,TX,USA
44047,Selected,,NJ,USA
44047,Selected,,NJ,USA
44047,Selected,,NJ,USA
44046,Selected,,HI,USA
44046,Selected,,HI,USA
44046,Selected,,HI,USA
44046,Selected,,HI,USA
44045,Selected,,FL,USA
44045,Selected,,FL,USA
44045,Selected,,FL,USA
44044,Selected,,TX,USA
44044,Selected,,TX,USA
44044,Selected,,TX,USA
44043,Selected,,FL,USA
44043,Selected,,FL,USA
44043,Selected,,FL,USA
44043,Selected,,FL,USA
44042,Selected,,NC,USA
44042,Selected,,NC,USA
44042,Selected,,NC,USA
44042,Selected,,NC,USA
44041,Selected,,NC,USA
44041,Selected,,NC,USA
44041,Selected,,NC,USA
44041,Selected,,NC,USA
44040,Selected,,NY,USA
44040,Selected,,NY,USA
44040,Selected,,NY,USA
44040,Selected,,NY,USA
44040,Selected,,NY,USA
44038,Selected,,GA,USA
44038,Selected,,GA,USA
44038,Selected,,GA,USA
44037,Selected,,CA,USA
44037,Selected,,CA,USA
44037,Selected,,CA,USA
44036,Selected,,AL,USA
44036,Selected,,AL,USA
44035,Selected,,PA,USA
44035,Selected,,PA,USA
44034,Selected,,IL,USA
44034,Selected,,IL,USA
44032,Selected,,TX,USA
44032,Selected,,TX,USA
44032,Selected,,TX,USA
44032,Selected,,TX,USA
44031,Selected,,FL,USA
44031,Selected,,FL,USA
44031,Selected,,FL,USA
44030,Selected,,NJ,USA
44030,Selected,,NJ,USA
44029,Selected,,WI,USA
44029,Selected,,WI,USA
44027,Selected,,NY,USA
44027,Selected,,NY,USA
44027,Selected,,NY,USA
44026,Selected,,NY,USA
44026,Selected,,NY,USA
44026,Selected,,NY,USA
44026,Selected,,NY,USA
44025,Selected,,TX,USA
44025,Selected,,TX,USA
44025,Selected,,TX,USA
44025,Selected,,TX,USA
44024,Enrolling,18-Jul-2017,FL,USA
44024,Enrolling,18-Jul-2017,FL,USA
44024,Enrolling,18-Jul-2017,FL,USA
44024,Enrolling,18-Jul-2017,FL,USA
44023,Selected,,GA,USA
44023,Selected,,GA,USA
44023,Selected,,GA,USA
44022,Selected,,WV,USA
