,Site Number,State,Country,N_tot,N_rand,lag,month
0,43605,NC,USA,4,4,96 days 12:00:00,4
1,43606,IL,USA,1,1,100 days 00:00:00,1
2,43607,PA,USA,4,2,106 days 00:00:00,2
3,43612,PA,USA,5,4,112 days 18:00:00,3
4,43613,IN,USA,3,2,122 days 12:00:00,3
5,43617,TX,USA,1,1,116 days 00:00:00,1
6,43618,OH,USA,1,1,109 days 00:00:00,1
7,43622,SC,USA,3,2,118 days 12:00:00,2
8,43626,FL,USA,13,5,111 days 00:00:00,4
9,43628,PA,USA,2,1,90 days 00:00:00,1
10,43629,NY,USA,7,3,114 days 08:00:00,3
11,43630,TX,USA,2,1,103 days 00:00:00,1
12,43632,MO,USA,4,2,98 days 12:00:00,4
13,43633,VA,USA,4,1,99 days 00:00:00,2
14,43634,CA,USA,4,3,106 days 16:00:00,2
15,43637,IN,USA,1,1,102 days 00:00:00,1
16,43638,CA,USA,3,1,129 days 00:00:00,2
17,43640,CA,USA,5,3,97 days 16:00:00,4
18,43642,RI,USA,3,2,97 days 12:00:00,3
19,43643,CA,USA,2,2,108 days 00:00:00,2
20,43645,LA,USA,2,1,109 days 00:00:00,2
21,43651,MI,USA,5,3,96 days 16:00:00,5
22,43652,TN,USA,2,2,126 days 00:00:00,2
23,43656,VA,USA,5,1,136 days 00:00:00,5
24,43659,PA,USA,4,3,105 days 00:00:00,3
25,43660,MI,USA,1,1,101 days 00:00:00,1
26,43661,CA,USA,2,1,138 days 00:00:00,2
27,43662,TN,USA,2,1,243 days 00:00:00,2
28,43663,NY,USA,5,3,121 days 00:00:00,4
29,43664,GA,USA,9,2,133 days 12:00:00,5
30,43669,CA,USA,9,1,99 days 00:00:00,5
31,43672,FL,USA,3,2,95 days 00:00:00,3
32,43673,CA,USA,5,3,107 days 16:00:00,4
33,43674,NY,USA,4,1,116 days 00:00:00,3
34,43675,NY,USA,4,2,93 days 00:00:00,3
35,43677,SC,USA,18,8,110 days 03:00:00,5
36,43682,TN,USA,2,2,102 days 00:00:00,2
37,43685,TX,USA,8,5,127 days 19:12:00,4
38,43686,FL,USA,1,1,138 days 00:00:00,1
39,43688,MD,USA,2,1,118 days 00:00:00,2
40,43690,WA,USA,4,3,137 days 08:00:00,3
41,43695,CA,USA,7,3,108 days 08:00:00,4
42,43698,FL,USA,9,8,124 days 15:00:00,6
43,43699,FL,USA,1,1,128 days 00:00:00,1
44,43703,NC,USA,3,1,103 days 00:00:00,2
45,43706,MO,USA,3,2,105 days 00:00:00,3
46,43708,CA,USA,3,2,104 days 00:00:00,2
47,43711,LA,USA,3,3,113 days 16:00:00,2
48,43713,AL,USA,4,4,101 days 12:00:00,3
49,43715,CA,USA,2,1,135 days 00:00:00,1
50,43719,CA,USA,4,1,129 days 00:00:00,3
51,43722,NV,USA,6,6,103 days 20:00:00,3
52,43723,FL,USA,7,3,97 days 16:00:00,2
53,43726,NC,USA,2,1,95 days 00:00:00,2
54,43729,CA,USA,1,1,96 days 00:00:00,1
